Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand, nGenMatchedLeptons
86076184,2,0,1,1,0,1,2
86076215,2,0,1,0,0,1,2
86076247,2,0,1,0,0,1,2
86076237,2,0,1,1,0,1,2
86076261,2,0,1,1,0,1,2
86076258,2,0,1,0,0,1,2
86076324,2,0,1,0,0,1,2
86076374,2,0,1,0,0,1,2
86076394,2,0,1,0,0,1,2
86076566,2,0,1,1,0,1,2
86076622,2,0,1,0,0,1,2
86076626,2,0,1,1,0,1,2
86076639,2,0,1,0,0,1,2
86076666,2,0,1,1,0,1,2
86076665,2,0,1,2,0,1,2
86076701,2,0,1,0,0,1,2
86076841,2,0,1,1,0,1,2
86076886,2,0,1,0,0,1,2
86076895,2,0,1,1,1,1,2
86076892,2,0,1,1,1,1,2
86076919,2,0,1,0,0,1,2
86076925,2,0,1,0,0,1,2
86076966,2,0,1,0,0,1,2
86076907,2,0,1,0,0,1,2
86076996,2,0,1,0,0,1,2
86076972,2,0,1,1,0,1,2
86077067,2,0,1,3,1,1,2
86077091,2,0,1,0,0,1,2
86077168,2,0,1,2,0,1,2
86077162,2,0,1,1,0,1,2
86077187,2,0,1,3,1,1,2
86077193,2,0,1,2,0,1,2
86077227,2,0,1,1,0,1,2
86077226,2,0,1,1,0,1,2
86077246,2,0,1,0,0,1,2
86077307,2,0,1,0,0,1,2
86077344,2,0,1,2,1,1,2
86077403,2,0,1,0,0,1,2
86077387,2,0,1,0,0,1,2
86077450,2,0,1,0,0,1,2
86077523,2,0,1,0,0,1,2
86077507,2,0,1,2,0,1,2
86077551,2,0,1,0,0,1,2
86077516,2,0,1,1,0,1,2
242945079,2,0,1,0,0,1,2
242945091,2,0,1,0,0,1,2
242945122,2,0,1,1,0,1,2
242945180,2,0,1,0,0,1,2
242945288,2,0,1,0,0,1,2
242945356,2,0,1,2,0,1,2
242945404,2,0,1,1,0,1,2
242945524,2,0,1,2,1,1,2
242945620,2,0,1,1,1,1,2
242945657,2,0,1,1,0,1,2
242945722,2,0,1,0,0,1,2
242945718,2,0,1,1,0,1,2
242945750,2,0,1,0,0,1,2
242945825,2,0,1,0,0,1,2
242945845,2,0,1,0,0,1,2
242945844,2,0,1,2,1,1,2
242945846,2,0,1,0,0,1,2
242945878,2,0,1,0,0,1,2
242945875,2,0,1,1,0,1,2
242945879,2,0,1,0,0,1,2
242945928,2,0,1,1,0,1,2
242945990,2,0,1,0,0,1,2
242946000,2,0,1,0,0,1,2
242946034,2,0,1,0,0,1,2
242946022,2,0,1,0,0,1,2
242946032,2,0,1,0,0,1,2
242946018,2,0,1,1,0,1,2
242946216,2,0,1,0,0,1,2
242946274,2,0,1,0,0,1,2
242946235,2,0,1,0,0,1,2
242946321,2,0,1,1,0,1,2
242946357,2,0,1,0,0,1,2
242946376,2,0,1,1,1,1,2
242946374,2,0,1,0,0,1,2
242946399,2,0,1,1,0,1,2
242946449,2,0,1,0,0,1,2
242946450,2,0,1,1,0,1,2
242946542,2,0,1,1,0,1,2
242946612,2,0,1,3,0,1,2
242946601,2,0,1,1,0,1,2
242946569,2,0,1,0,0,1,2
242946620,2,0,1,2,0,1,2
242946587,2,0,1,0,0,1,2
242946640,2,0,1,0,0,1,2
242946691,2,0,1,0,0,1,2
242946703,2,0,1,1,0,1,2
242946705,2,0,1,1,0,1,2
242946833,2,0,1,0,0,1,2
242946850,2,0,1,1,1,1,2
242946896,2,0,1,2,0,1,2
242946920,2,0,1,1,0,1,2
242946999,2,0,1,0,0,1,2
242947099,2,0,1,1,0,1,2
242947175,2,0,1,1,1,1,2
242947218,2,0,1,0,0,1,2
242947210,2,0,1,2,1,1,2
242947269,2,0,1,0,0,1,2
242947296,2,0,1,0,0,1,2
242947330,2,0,1,0,0,1,2
242947346,2,0,1,1,0,1,2
242947374,2,0,1,1,1,1,2
242947402,2,0,1,1,0,1,2
242947397,2,0,1,1,0,1,2
242947482,2,0,1,1,0,1,2
242947508,2,0,1,0,0,1,2
242947590,2,0,1,1,1,1,2
242947638,2,0,1,0,0,1,2
242947667,2,0,1,1,0,1,2
242947658,2,0,1,0,0,1,2
242947707,2,0,1,0,0,1,2
242947745,2,0,1,0,0,1,2
242947747,2,0,1,1,0,1,2
242947792,2,0,1,1,1,1,2
242947894,2,0,1,1,0,1,2
242947900,2,0,1,0,0,1,2
242947950,2,0,1,1,0,1,2
242947914,2,0,1,0,0,1,2
242947938,2,0,1,0,0,1,2
242947971,2,0,1,0,0,1,2
242947993,2,0,1,1,0,1,2
242948027,2,0,1,0,0,1,2
242948182,2,0,1,2,2,1,2
242948264,2,0,1,1,0,1,2
242948280,2,0,1,0,0,1,2
242948274,2,0,1,2,0,1,2
242948292,2,0,1,0,0,1,2
242948351,2,0,1,1,1,1,2
242948420,2,0,1,1,0,1,2
242948425,2,0,1,0,0,1,2
242948454,2,0,1,1,0,1,2
242948447,2,0,1,1,0,1,2
242948547,2,0,1,0,0,1,2
242948569,2,0,1,2,0,1,2
242948658,2,0,1,0,0,1,2
242948638,2,0,1,0,0,1,2
242948689,2,0,1,0,0,1,2
242948703,2,0,1,0,0,1,2
242948822,2,0,1,1,0,1,2
242948785,2,0,1,1,0,1,2
242948858,2,0,1,0,0,1,2
242948854,2,0,1,0,0,1,2
242948893,2,0,1,0,0,1,2
242948897,2,0,1,2,1,1,2
242948905,2,0,1,0,0,1,2
242948957,2,0,1,1,0,1,2
242948985,2,0,1,0,0,1,2
242949011,2,0,1,0,0,1,2
242949006,2,0,1,2,1,1,2
242949016,2,0,1,0,0,1,2
242949063,2,0,1,0,0,1,2
242949095,2,0,1,0,0,1,2
242949084,2,0,1,2,0,1,2
242949195,2,0,1,0,0,1,2
242949213,2,0,1,1,0,1,2
242949219,2,0,1,0,0,1,2
242949222,2,0,1,1,0,1,2
242949309,2,0,1,0,0,1,2
242949297,2,0,1,0,0,1,2
242949354,2,0,1,1,0,1,2
242949377,2,0,1,0,0,1,2
242949358,2,0,1,1,0,1,2
242949396,2,0,1,0,0,1,2
242949465,2,0,1,1,0,1,2
242949503,2,0,1,1,1,1,2
242949529,2,0,1,0,0,1,2
242949527,2,0,1,0,0,1,2
242949596,2,0,1,0,0,1,2
242949589,2,0,1,1,0,1,2
242949663,2,0,1,0,0,1,2
242949654,2,0,1,1,0,1,2
242949668,2,0,1,0,0,1,2
242949747,2,0,0,0,0,1,4
242949756,2,0,1,0,0,1,2
242949754,2,0,1,0,0,1,2
242949762,2,0,1,1,0,1,2
242949783,2,0,1,0,0,1,2
242949794,2,0,1,0,0,1,2
242949859,2,0,1,0,0,1,2
242949822,2,0,1,0,0,1,2
242949893,2,0,1,0,0,1,2
242950015,2,0,1,0,0,1,2
242950054,2,0,1,1,0,1,2
242950046,2,0,1,2,0,1,2
242950069,2,0,1,1,0,1,2
242950206,2,0,1,1,0,1,2
242950165,2,0,1,1,1,1,2
242950207,2,0,1,0,0,1,2
242950226,2,0,1,2,0,1,2
242950275,2,0,1,1,0,1,2
242950283,2,0,1,1,1,1,2
242950306,2,0,1,0,0,1,2
243036815,2,0,1,1,0,1,2
243036830,2,0,1,0,0,1,2
243036893,2,0,1,1,1,1,2
243036941,2,0,1,3,0,1,2
243036972,2,0,1,1,0,1,2
243036955,2,0,1,1,1,1,2
243036956,2,0,1,0,0,1,2
243037009,2,0,1,0,0,1,2
243037049,2,0,1,0,0,1,2
243037124,2,0,1,0,0,1,2
243037126,2,0,1,0,0,1,2
243037147,2,0,1,0,0,1,2
243037212,2,0,1,0,0,1,2
243037241,2,0,1,0,0,1,2
243037255,2,0,1,1,1,1,2
243037258,2,0,1,0,0,1,2
243037261,2,0,1,0,0,1,2
243037351,2,0,1,0,0,1,2
243037382,2,0,1,2,0,1,2
243037357,2,0,1,2,0,1,2
243037374,2,0,1,0,0,1,2
243037401,2,0,1,0,0,1,2
243037405,2,0,1,0,0,1,2
243037406,2,0,1,0,0,1,2
243037703,2,0,1,0,0,1,2
243037699,2,0,1,0,0,1,2
243037745,2,0,1,0,0,1,2
243037860,2,0,1,0,0,1,2
243037886,2,0,1,2,2,1,2
243038031,2,0,1,0,0,1,2
