Event, nTightEle, nTightMu, hasOS, hasOS_ZCand, hasSS_ZCand, nGenMatchedLeptons, nFlips, nJets, nBJets
324344608,2,0,1,1,0,2,0,1,1
324344640,2,0,1,1,0,2,0,0,0
324344665,2,0,1,1,0,2,0,1,0
324344668,2,0,1,1,0,2,0,1,0
324344687,2,0,1,1,0,2,0,2,0
324344765,2,0,1,1,0,2,0,0,0
324344763,2,0,1,1,0,2,0,0,0
324344773,2,0,1,1,0,2,0,1,1
324344917,2,0,1,1,0,2,0,0,0
324345020,2,0,1,1,0,2,0,1,1
324345048,2,0,1,1,0,2,0,0,0
324345058,2,0,1,1,0,2,0,0,0
324345071,2,0,1,1,0,2,0,0,0
324345088,2,0,1,1,0,2,0,0,0
324345122,2,0,1,1,0,2,0,1,0
324345172,2,0,1,1,0,2,0,1,0
324345152,2,0,1,1,0,2,0,2,1
324345164,2,0,1,1,0,2,0,0,0
324345266,2,0,1,1,0,2,0,2,1
324345261,2,0,1,1,0,2,0,0,0
324345346,2,0,1,1,0,2,0,0,0
324345422,2,0,1,1,0,2,0,1,0
324345488,2,0,1,1,0,2,0,0,0
324345474,2,0,1,1,0,2,0,2,2
324345509,2,0,1,1,0,2,0,0,0
324345562,2,0,1,1,0,2,0,0,0
324345593,2,0,1,1,0,2,0,0,0
324345586,2,0,1,1,0,2,0,1,0
324345604,2,0,1,1,0,2,0,1,1
324345638,2,0,1,1,0,2,0,1,0
324345666,2,0,1,1,0,2,0,0,0
324345645,2,0,1,1,0,2,0,1,0
324345738,2,0,1,1,0,2,0,0,0
324345755,2,0,1,1,0,2,0,0,0
324345768,2,0,1,1,0,2,0,1,0
324345787,2,0,1,1,0,2,0,0,0
324345809,2,0,1,1,0,2,0,0,0
324345836,2,0,1,1,0,2,0,0,0
324345840,2,0,1,1,0,2,0,0,0
324345847,2,0,1,1,0,2,0,0,0
324345882,2,0,1,1,0,2,0,0,0
324345908,2,0,1,1,0,2,0,0,0
324345969,2,0,1,1,0,2,0,0,0
324345981,2,0,1,1,0,2,0,0,0
324346059,2,0,1,1,0,2,0,1,1
324346078,2,0,1,1,0,2,0,0,0
324346124,2,0,1,1,0,2,0,0,0
324346126,2,0,1,1,0,2,0,0,0
324346097,2,0,1,1,0,2,0,0,0
324346128,2,0,1,1,0,2,0,0,0
324346216,2,0,1,1,0,2,0,0,0
324346207,2,0,1,1,0,2,0,0,0
324346213,2,0,1,1,0,2,0,0,0
324346240,2,0,1,1,0,2,0,1,0
324346314,2,0,1,1,0,2,0,1,0
324346338,2,0,1,1,0,2,0,0,0
324346375,2,0,1,1,0,2,0,0,0
324346361,2,0,1,1,0,2,0,1,0
324346416,2,0,1,1,0,2,0,1,1
324346405,2,0,1,1,0,2,0,0,0
324346479,2,0,1,1,0,2,0,1,0
324346525,2,0,1,1,0,2,0,1,0
324346541,2,0,1,1,0,2,0,0,0
324346600,2,0,1,1,0,2,0,1,0
324346632,2,0,1,1,0,2,0,1,0
324346646,2,0,1,1,0,2,0,0,0
324346673,2,0,1,1,0,2,0,0,0
324346685,2,0,1,1,0,2,0,0,0
324346733,2,0,1,1,0,2,0,1,0
324346872,2,0,1,1,0,2,0,1,0
324346959,2,0,1,1,0,2,0,0,0
324347009,2,0,1,1,0,2,0,1,0
324347032,2,0,1,1,0,2,0,1,0
324347126,2,0,1,1,0,2,0,2,2
324347176,2,0,1,1,0,2,0,0,0
324347207,2,0,1,1,0,2,0,0,0
324347222,2,0,1,1,0,2,0,0,0
324347215,2,0,1,1,0,2,0,0,0
324347206,2,0,1,1,0,2,0,2,1
324347260,2,0,1,1,0,2,0,0,0
324347353,2,0,1,1,0,2,0,0,0
324347349,2,0,1,1,0,2,0,0,0
324347354,2,0,1,1,0,2,0,2,0
324347385,2,0,1,1,0,2,0,0,0
324347374,2,0,1,1,0,2,0,0,0
324347405,2,0,1,1,0,2,0,3,0
324347486,2,0,1,1,0,2,0,1,1
324347518,2,0,1,1,0,2,0,0,0
324347532,2,0,1,1,0,2,0,1,0
324347569,2,0,1,1,0,2,0,0,0
324347601,2,0,1,1,0,2,0,1,0
324347608,2,0,1,1,0,2,0,1,1
324347618,2,0,1,1,0,2,0,0,0
324347637,2,0,1,1,0,2,0,2,0
324347672,2,0,1,1,0,2,0,0,0
324347708,2,0,1,1,0,2,0,0,0
324347721,2,0,1,1,0,2,0,0,0
324347742,2,0,1,1,0,2,0,2,0
324347874,2,0,1,1,0,2,0,0,0
324347863,2,0,1,1,0,2,0,0,0
324347887,2,0,1,1,0,2,0,0,0
324347919,2,0,1,1,0,2,0,2,2
324347912,2,0,1,1,0,2,0,0,0
324347957,2,0,1,1,0,2,0,0,0
324348010,2,0,1,1,0,2,0,0,0
